metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
cat15_gwet_ac1,179,-0.005852293304243757,0.9380265452697083,-0.04596101341866115,0.5412449606081404
cat9_gwet_ac1,179,-0.017792743899438454,0.8131209975147683,-0.035249579869833396,0.6394636150396844
multi_jaccard,179,-0.09997010030259168,0.1830322764991811,-0.06717428780625521,0.3716194027972659
span22_jaccard,179,-0.037969091979859454,0.6138292928952171,-0.1078464178912707,0.15072575134370855
span25_jaccard,179,-0.038957999086104644,0.6046204549395295,-0.11045960569828281,0.1410199068270949
span17_jaccard,179,-0.0426202945698186,0.5710652580824559,-0.0983940934509827,0.19006639064948078
rq3_three_component,179,-0.052292186972056086,0.48693234065193336,-0.08045854200509657,0.2843235512168384
full_schema_three_component,179,-0.05264948999657779,0.4839566883086303,-0.07970275212876737,0.28888638148288914
two_component_rq3,179,-0.036727460546265814,0.6254774774447535,-0.0781205273283215,0.298596169592441
legacy_static,179,-0.024377374123808748,0.7460059698121814,-0.05308863206230239,0.48031291025549916
